state,year,Violent Crime,Homicide,Forcible Rape,Robbery,Assault,Property Crime,Burglary,Larceny,Auto Theft
Alabama,1960,186.6,12.4,8.6,27.5,138.1,1035.4,355.9,592.1,87.3
Alabama,1961,168.5,12.9,7.6,19.1,128.9,985.5,339.3,569.4,76.8
Alabama,1962,157.3,9.4,6.5,22.5,119,1067,349.1,634.5,83.4
Alabama,1963,182.7,10.2,5.7,24.7,142.1,1150.9,376.9,683.4,90.6
Alabama,1964,213.1,9.3,11.7,29.1,163,1358.7,466.6,784.1,108
Alabama,1965,199.8,11.4,10.6,28.7,149.1,1392.7,473.7,812.1,106.9
Alabama,1966,230.3,10.9,9.7,32,177.7,1528,527.5,869.6,131
Alabama,1967,238.6,11.7,10.5,33,183.5,1612.4,571.4,895,146
Alabama,1968,232.4,11.8,11.1,41,168.5,1766.6,628.2,967.7,170.7
Alabama,1969,250.4,13.7,14,41,181.7,1876.2,667.2,1037.8,171.2
Alabama,1970,295.7,11.7,18.5,50.3,215.2,2183.8,776.4,1184,223.5
Alabama,1971,311.4,15.1,19,57.6,219.7,2187,791.8,1173.9,221.2
Alabama,1972,313.2,14.1,18.8,68.6,211.7,2081.3,789.6,1096.7,195
Alabama,1973,350.1,13.2,21.2,79.4,236.3,2232.2,897.3,1107.8,227.2
Alabama,1974,372.9,15,22.7,99.6,235.6,2627.2,1057.9,1308.7,260.6
Alabama,1975,392.9,16,20.4,123,233.5,3079.6,1163.8,1645.5,270.3
Alabama,1976,388.8,15.1,21.7,96,256,3419.5,1170,1987.2,262.3
Alabama,1977,414.4,14.2,25.2,96.8,278.3,3298.2,1135.5,1881.9,280.7
Alabama,1978,419.1,13.3,25.5,99.1,281.2,3519.7,1229.3,1987.9,302.5
Alabama,1979,413.3,13.2,27.5,109.5,263.1,3830.5,1287.3,2223.2,320.1
Alabama,1980,448.5,13.2,30,132.1,273.2,4485.1,1526.7,2642.2,316.2
Alabama,1981,470.5,11.9,26.1,126.5,306.1,4428.3,1450.7,2693.3,284.2
Alabama,1982,447.7,10.6,26,112,299.1,4185.8,1256.2,2656.4,273.3
Alabama,1983,416,9.2,23.5,98.4,284.9,3685,1073.1,2381.4,230.5
Alabama,1984,431.2,9.4,25.1,96.1,300.6,3470.9,1001.8,2235.5,233.6
Alabama,1985,457.5,9.8,26.8,105.4,315.5,3484.6,1034.9,2191.2,258.5
Alabama,1986,558,10.1,28.4,111.6,407.9,3730.3,1159,2304.4,267
Alabama,1987,559.2,9.3,27.8,112.2,409.9,3892.2,1198.3,2431.1,262.8
Alabama,1988,558.6,9.9,29.8,117.8,401.2,4003.1,1233.8,2502.6,266.7
Alabama,1989,590.8,10.2,31,133.9,415.7,4037,1146.8,2592.8,297.5
Alabama,1990,708.6,11.6,32.6,143.7,520.7,4206.7,1103.4,2755.4,347.8
Alabama,1991,844.2,11.5,35.6,152.8,644.4,4521.4,1268.6,2889.5,363.4
Alabama,1992,871.7,11,41.2,164.9,654.6,4396.4,1186,2848.2,362.3
Alabama,1993,780.4,11.6,35.1,159.5,574.3,4098.4,1088.6,2672,337.8
Alabama,1994,683.7,11.9,35.2,171.2,465.3,4219.4,1044.4,2843.1,331.8
Alabama,1995,632.4,11.2,31.7,185.8,403.7,4215.7,1024.8,2844.3,346.6
